UNDERLYING,SYMBOL,JUL-20,AUG-20,SEP-20,DEC-20,MAR-21,JUN-21,DEC-21,JUN-22,DEC-22,JUN-23,DEC-23,JUN-24,DEC-24,JUN-25
RELIANCE INDUSTRIES LTD,RELIANCE,505,505,505,,,,,,,,,,,
STEEL AUTHORITY OF INDIA,SAIL,19000,19000,19000,,,,,,,,,,,
SBI LIFE INSURANCE CO LTD,SBILIFE,750,750,750,,,,,,,,,,,
STATE BANK OF INDIA,SBIN,3000,3000,3000,,,,,,,,,,,
SIEMENS LTD,SIEMENS,550,550,550,,,,,,,,,,,
SUN PHARMACEUTICAL IND L,SUNPHARMA,1400,1400,1400,,,,,,,,,,,
SRF LTD,SRF,250,250,250,,,,,,,,,,,
SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN,667,667,667,,,,,,,,,,,
TATA STEEL LIMITED,TATASTEEL,1700,1700,1700,,,,,,,,,,,
TATA CHEMICALS LTD,TATACHEM,2000,2000,2000,,,,,,,,,,,
TATA MOTORS LIMITED,TATAMOTORS,5700,5700,5700,,,,,,,,,,,
GLENMARK PHARMACEUTICALS,GLENMARK,2300,2300,2300,,,,,,,,,,,
TATA CONSULTANCY SERV LT,TCS,300,300,300,,,,,,,,,,,
GMR INFRASTRUCTURE LTD.,GMRINFRA,45000,45000,45000,,,,,,,,,,,
TECH MAHINDRA LIMITED,TECHM,1200,1200,1200,,,,,,,,,,,
TITAN COMPANY LIMITED,TITAN,750,750,750,,,,,,,,,,,
TORRENT PHARMACEUTICALS L,TORNTPHARM,500,500,500,,,,,,,,,,,
TVS MOTOR COMPANYLTD,TVSMOTOR,1400,1400,1400,,,,,,,,,,,
UNITED BREWERIES LTD,UBL,700,700,700,,,,,,,,,,,
ULTRATECH CEMENT LIMITED,ULTRACEMCO,200,200,200,,,,,,,,,,,
UPL LIMITED,UPL,1300,1300,1300,,,,,,,,,,,
VEDANTA LIMITED,VEDL,6200,6200,6200,,,,,,,,,,,
VOLTAS LTD,VOLTAS,1000,1000,1000,,,,,,,,,,,
ZEE ENTERTAINMENT ENT LTD,ZEEL,3000,3000,3000,,,,,,,,,,,
VODAFONE IDEA LIMITED,IDEA,140000,140000,140000,,,,,,,,,,,
UNITED SPIRITS LIMITED,MCDOWELL-N,1250,1250,1250,,,,,,,,,,,
POWER GRID CORP. LTD.,POWERGRID,4000,4000,4000,,,,,,,,,,,
WIPRO LTD,WIPRO,3200,3200,3200,,,,,,,,,,,
BHARTI INFRATEL LTD.,INFRATEL,2800,2800,2800,,,,,,,,,,,
MAX FINANCIAL SERV LTD,MFSL,1300,1300,1300,,,,,,,,,,,
TORRENT POWER LTD,TORNTPOWER,3000,3000,3000,,,,,,,,,,,
